file_ID,obs_ID,time_start,time_end,exp_time(sec),UVOT_exp(sec),diff,detection_type,count,counterr,mag,magerr,mag_AB,magerr_AB
28,10283028,551000000,551000000,2.80E+03,3278.311,474,upper_limit,0.033,NaN,21.1,NaN,22.83,NaN
22,10283022,549055272.5,549126121.1,1.89E+04,19180.331,322,detection,0.024,0.005,21.14,NaN,22.87,NaN
23,10283023,549634618,549665641,1.92E+04,19457.72,307,upper_limit,0.015,NaN,21.26,,22.99,
24,10283024,550197077.6,550261801,1.45E+04,15427,890,upper_limit,0.013,NaN,21.81,,23.54,
25,10283025,550346098.3,550347780.9,1.66E+03,1682.586,27,upper_limit,0.043,NaN,20.8,,22.53,
26,10283026,550851402,550886401,8.99E+03,9131.868,144,upper_limit,0.018,NaN,21.73,,23.46,
27,10283027,550898299,550956361,9.46E+03,9793.658,338,upper_limit,0.017,NaN,21.82,,23.55,
29,10283029,551518532.7,551582162.4,4.55E+03,5096.105,551,upper_limit,0.026,NaN,21.33,,23.06,
30,10283030,551786437.1,551834161,6.50E+03,6831.043,330,upper_limit,0.019,NaN,21.66,,23.39,
31,10283031,551902319.1,551913841,3.21E+03,3319.397,112,upper_limit,0.03,NaN,21.18,,22.91,
32,10283032,551988556.2,552092462.4,3.80E+03,3864.214,61,upper_limit,0.026,NaN,21.33,,23.06,
34,10283034,552595630.1,552700381,7.40E+03,7540.395,141,upper_limit,0.019,NaN,21.68,,23.41,
35,10283035,552704990,552780600.9,7.05E+03,7190.121,138,upper_limit,0.019,NaN,21.71,,23.44,
1,10283001,527070134.5,527106720.9,8.69E+03,8833.242,139,upper_limit,0.02,,22.09,,23.83,
2,10283002,534468263.3,534555421,9.64E+03,9793.658,155,upper_limit,0.022,NaN,22.19,,23.92,
3,10283003,534612814.5,534618902.4,10417.65,10644.727,227,upper_limit,0.02,NaN,,,,
4,10283004,535110886.2,535145280.9,1.29E+04,13173,297,upper_limit,0.018,NaN,,,,
5,10283005,535248261.9,535248901,8.72E+03,8864.884,140,upper_limit,0.023,NaN,,,,
6,10283006,536000072.6,536024400.9,6.52E+03,6658.83,137,upper_limit,0.023,NaN,,,,
7,10283007,536086151.9,536099221,1.23E+04,12482.435,197,upper_limit,0.015,NaN,,,,
8,10283008,536367365.7,536397661,1.82E+04,18548.257,314,upper_limit,0.012,NaN,,,,
9,10283009,536969828.4,536976001,6.97E+03,7077.981,112,upper_limit,0.024,NaN,,,,
10,10283010,537090374.2,537097441.1,9.22E+03,9398.038,174,upper_limit,0.02,NaN,,,,
11,10283011,537537954.9,537567301,8.84E+03,8976.692,142,upper_limit,0.021,NaN,,,,
12,10283012,537681412.8,537692997.3,6.98E+03,7092.457,112,upper_limit,0.026,NaN,,,,
13,10283013,537981283,538009141,3.36E+03,3479.573,118,upper_limit,0.041,NaN,,,,
14,10283014,546645499.2,546652320.9,7337.1,7780.402,443,upper_limit,0.024,NaN,,,,
15,10283015,546696576.7,546731820.9,10474.23447,11278,804,upper_limit,0.021,NaN,,,,
16,10283016,547197029,547219621,3.23E+03,3366.066,133,upper_limit,0.054,NaN,,,,
17,10283017,547283046,547284060.9,6.16E+03,6547.971,387,upper_limit,0.037,NaN,,,,
TOTAL,NaN,549055272.5,549055272.5,295463.35,0,-295463,SUM,0.0072,0.0012,22.57,0.28,24.3,0.28
18,10283018,547855926.9,547862401,8.14E+03,8272.924,133,upper_limit,0.03,NaN,,,,
19,10283019,547907398.9,547932180.9,9.14E+03,9284.522,146,upper_limit,0.028,NaN,,,,
20,10283020,548458649.9,548466241,10719.44211,10946,227,upper_limit,0.027,NaN,,,,
21,10283021,548528167.1,548529361,9.54E+03,9695.012,153,upper_limit,0.027,NaN,,,,